city,colors,shape,state,time
Live Oak,,triangle,CA,7/15/1974 3:30
Jermyn,RED,fireball,PA,7/15/1974 5:30
Vining,,other,MN,7/15/1974 13:00
Carthage,,,MS,7/15/1974 14:00
Evanston,ORANGE,disk,IL,7/15/1974 17:00
Overland Park,,light,KS,7/15/1974 19:00
Hampton,,light,VA,7/15/1974 20:00
Jacksonville,,triangle,FL,7/15/1974 21:00
Ottawa,,,IL,7/15/1974 21:00
Bridgeview,,triangle,IL,7/15/1974 22:00
Valencia,,disk,CA,7/15/1974 22:00
New Albany,RED GREEN,triangle,IN,7/15/1974 22:30
Fort Lauderdale,,fireball,FL,7/16/1974 1:00
Scottsville,,cross,KY,7/16/1974 23:00
Bremerton,,delta,WA,7/18/1974 20:00
Marfa,,oval,TX,7/20/1974 2:00
Morgan City,,triangle,LA,7/20/1974 3:00
Salem,,cigar,MA,7/20/1974 18:30
Woodbridge,,disk,NJ,7/20/1974 22:00
Newark,,disk,DE,7/21/1974 21:00
Apple Valley,,disk,MN,7/21/1974 22:30
Gulf of Mexico,,disk,FL,7/22/1974 14:00
Salida,,disk,CO,7/22/1974 22:30
Hagerstown,,disk,MD,7/24/1974 19:00
East Berkshire,ORANGE,light,VT,7/24/1974 21:00
Hagerstown,,disk,MD,7/24/1974 22:00
Bridgeport,RED,circle,CT,7/25/1974 21:00
Claremont,,oval,NC,7/26/1974 20:30
Cohasset,,light,MA,7/27/1974 2:30
Wilton,,cylinder,CT,8/1/1974 3:00
Grafton,,circle,MA,8/1/1974 19:00
Chester,,triangle,CA,8/1/1974 21:00
Clarkston,,oval,GA,8/1/1974 21:00
Pemberton,,circle,NJ,8/1/1974 21:30
Springfield,,cigar,OH,8/1/1974 22:00
Lexington,,disk,KY,8/1/1974 22:45
Campbell,,triangle,CA,8/1/1974 23:00
Warren,,circle,OH,8/2/1974 16:00
Morganfield,,circle,KY,8/7/1974 20:00
East Haven,,light,CT,8/8/1974 3:00
Mentor,,disk,OH,8/8/1974 10:00
Lake Zurich,,sphere,IL,8/8/1974 22:00
Spokane,,cigar,WA,8/9/1974 12:00
Spokane,,other,WA,8/9/1974 12:00
New Rochelle,,oval,NY,8/10/1974 1:00
New Rochelle,,oval,NY,8/10/1974 13:00
Greenville,,rectangle,SC,8/10/1974 18:00
Boardman,,disk,OH,8/12/1974 20:30
Kent,,disk,OH,8/15/1974 7:00
Pullman,,circle,MI,8/15/1974 17:00
Gold Beach,,circle,OR,8/15/1974 20:00
Niagara Falls,,triangle,NY,8/15/1974 20:00
Redondo,,disk,WA,8/15/1974 20:00
Miami,,cigar,FL,8/15/1974 20:30
Canon AFB,,light,NM,8/15/1974 22:00
Girard,,,OH,8/15/1974 22:00
Chubbuck,,other,ID,8/15/1974 22:30
Somersworth,,disk,NH,8/16/1974 19:30
King City,GREEN,oval,CA,8/20/1974 22:00
Delta,,disk,UT,8/20/1974 23:45
Holloman AFB,,other,NM,8/21/1974 11:00
North Windham,,disk,ME,8/23/1974 2:30
Bridgeport,,triangle,CT,8/23/1974 19:30
Colliers,,disk,WV,8/25/1974 21:00
Rochester Hills,,disk,MI,8/29/1974 22:00
Owensboro,,,KY,9/1/1974 16:00
Cumberland,,light,MD,9/1/1974 17:30
Auburn,,rectangle,AL,9/1/1974 20:00
Bremen,,disk,IN,9/1/1974 21:00
Sitka,,disk,AK,9/1/1974 23:00
Murfreesboro,,disk,TN,9/3/1974 22:00
Denver,,other,CO,9/11/1974 20:00
Columbia,,disk,SC,9/13/1974 21:00
Piedmont,,disk,OK,9/14/1974 3:00
Kelso,,triangle,WA,9/15/1974 2:00
Chico,,chevron,CA,9/15/1974 3:00
"Heber Springs, Greers Ferry Lake",,disk,AR,9/15/1974 17:20
Detroit,,disk,MI,9/15/1974 18:30
Hattiesburg,,triangle,MS,9/15/1974 20:00
Westerlo,,light,NY,9/15/1974 20:00
no data,,disk,KY,9/15/1974 21:00
Woodburn,,rectangle,IN,9/15/1974 21:30
Independence,,other,MO,9/15/1974 22:30
Jamul,,fireball,CA,9/22/1974 17:00
Spanaway,,other,WA,9/23/1974 21:30
Baskin,,oval,LA,9/30/1974 1:00
Denton,,,TX,10/1/1974 1:00
Weirton,,sphere,WV,10/1/1974 18:00
Deerwood,,,MN,10/1/1974 20:00
Chester,,light,NJ,10/1/1974 21:00
Chicago,,oval,IL,10/6/1974 22:00
Yakima,,cone,WA,10/7/1974 19:50
Willow Beach,,light,AZ,10/10/1974 17:00
Hudson,,other,MA,10/10/1974 19:30
Hudson,,light,KS,10/10/1974 23:00
Fulton,ORANGE,diamond,MO,10/14/1974 16:30
Oran,,,MO,10/14/1974 20:00
North of Colorado Springs,,light,CO,10/15/1974 1:30
Oak Creek,,cigar,CO,10/15/1974 2:30
Memphis,,cigar,TN,10/15/1974 18:00
Bath,,oval,OH,10/15/1974 18:30
San Francisco,,light,CA,10/15/1974 22:30
La Junta,GREEN,other,CO,10/15/1974 23:00
Hopkinsville,,circle,KY,10/18/1974 1:00
San Jose,,fireball,CA,10/20/1974 7:00
Houston,RED,circle,TX,10/20/1974 19:30
Owensboro,,light,KY,10/20/1974 21:00
Oneonta,,circle,AL,10/22/1974 20:00
Eastland,,sphere,UT,10/27/1974 21:00
Rockford,,light,IL,10/31/1974 7:00
Chicago,,,IL,10/31/1974 17:45
Nashville,,light,TN,11/1/1974 1:00
Alpine,,light,TX,11/1/1974 20:00
Davenport,,light,IA,11/1/1974 20:00
Oil City,,,PA,11/1/1974 21:00
New Orleans,RED,other,LA,11/2/1974 0:00
Tullahoma,,disk,TN,11/4/1974 20:00
Charlotte,,circle,NC,11/9/1974 22:00
York,,triangle,ME,11/10/1974 21:00
New Orleans,,disk,LA,11/13/1974 22:00
West Orange,,,NJ,11/15/1974 0:00
Cordova,,disk,AK,11/15/1974 9:00
Aiken,RED GREEN,various,SC,11/15/1974 21:00
Higgins Lake,,circle,MI,11/15/1974 21:00
Huber Heights,,disk,OH,11/15/1974 21:00
Deland,,light,FL,11/15/1974 22:00
Van Nuys,,teardrop,CA,11/15/1974 23:30
Juneau,,other,WI,11/16/1974 17:01
Higgens Lake,,light,MI,11/17/1974 21:00
West Milton,ORANGE,circle,OH,11/25/1974 21:00
Verbena,RED,sphere,AL,11/25/1974 22:00
Fort Polk,,,LA,12/1/1974 1:00
Cullowhee,,light,NC,12/1/1974 20:30
Cullowhee,,sphere,NC,12/1/1974 22:30
Presque Isle,,other,ME,12/5/1974 20:30
Pauncetony,,,PA,12/10/1974 10:00
Palmdale,,disk,CA,12/12/1974 3:00
Beaumont,,cigar,TX,12/15/1974 2:00
Goree,,light,TX,1/1/1975 1:00
Jamestown,,sphere,NY,1/1/1975 3:00
Phoenix,,disk,AZ,1/1/1975 12:00
Silver Hill,,disk,MD,1/1/1975 13:00
Waverly Hall,,sphere,GA,1/1/1975 19:00
Denver,,disk,CO,1/1/1975 20:00
Houston,,disk,TX,1/4/1975 22:40
Uxbridge,,light,MA,1/13/1975 1:30
Cairo,,triangle,NY,1/15/1975 16:00
Pipestone,,sphere,MN,1/15/1975 16:00
Miami,,light,FL,1/15/1975 19:00
Springfield,,,PA,1/15/1975 21:15
Albany,,light,NY,1/17/1975 18:00
Pasco,,sphere,WA,2/2/1975 11:30
Mukwanago,,chevron,WI,2/15/1975 21:00
Akin,RED,triangle,IL,2/18/1975 23:00
Fall City,,,WA,3/1/1975 8:00
Roseville,,disk,CA,3/1/1975 21:00
Cowiche,,disk,WA,3/6/1975 21:00
Fort Lauderdale,,disk,FL,3/7/1975 19:00
Detroit,,sphere,MI,3/8/1975 19:00
New Cambria,,rectangle,KS,3/15/1975 19:00
Cowiche,,circle,WA,3/15/1975 21:00
Carlsbad,,disk,CA,3/20/1975 16:00
St. Marys,RED,cigar,PA,4/1/1975 7:00
New Boston,,light,TX,4/1/1975 19:30
Reno,RED YELLOW,cigar,NV,4/1/1975 20:00
Waterford,,circle,CT,4/1/1975 23:00
Gilkey,,disk,NC,4/10/1975 22:00
Houston,,,TX,4/12/1975 7:00
Florida,,sphere,FL,4/15/1975 0:00
Huntsville,,light,AL,4/15/1975 0:00
Highway location,,light,FL,4/15/1975 1:30
Onalaska,,disk,WI,4/15/1975 2:00
Tifton,,sphere,GA,4/15/1975 2:00
Waterford,,disk,PA,4/18/1975 7:40
Mount Vernon,,oval,VA,4/20/1975 17:00
Kettering,,disk,OH,4/23/1975 3:45
Oil City,,disk,PA,4/25/1975 0:00
Alexandria,,fireball,VA,5/1/1975 2:40
Reno,,disk,NV,5/1/1975 17:00
Jacksonville,,sphere,NC,5/5/1975 2:00
Lodi,RED,light,OH,5/7/1975 2:00
Holmen,,disk,WI,5/15/1975 0:00
Little Rock,,cigar,AR,5/15/1975 1:00
Denton,,other,TX,5/15/1975 13:00
Pomeroy,,disk,WA,5/15/1975 16:00
Lithia Springs,,disk,GA,5/15/1975 20:00
San Antonio,RED,disk,TX,5/23/1975 17:00
Delroy,,triangle,OH,5/25/1975 17:00
Rochester,,flash,NY,5/25/1975 23:00
Mountain Top,,triangle,PA,5/30/1975 20:00
Clovis,,light,NM,6/1/1975 0:00
Douglas,,circle,AZ,6/1/1975 0:10
Benton Harbor,,disk,MI,6/1/1975 2:00
Iowa City,BLUE,disk,IA,6/1/1975 3:00
Cerritos,,,CA,6/1/1975 12:00
Daleville,,disk,IN,6/1/1975 12:00
Lakewood,,cigar,CA,6/1/1975 12:00
Nashville,,triangle,TN,6/1/1975 12:00
Cold Spring,,oval,NY,6/1/1975 13:00
Youngstown,,circle,OH,6/1/1975 13:00
Milwaukee,,various,WI,6/1/1975 15:00
Milford,,disk,MA,6/1/1975 18:00
Scott AFB,,,IL,6/1/1975 18:00
Cannon AFB,,,NM,6/1/1975 18:46
Denver,,circle,CO,6/1/1975 19:00
Half Moon Bay,,oval,CA,6/1/1975 19:00
Silver Spring,,disk,PA,6/1/1975 19:00
Williams,,oval,CA,6/1/1975 20:00
Kenmore,BLUE,disk,NY,6/1/1975 20:30
Kenmore,,oval,NY,6/1/1975 20:30
Carthage,,,TX,6/1/1975 21:00
Central,,fireball,OK,6/1/1975 21:00
Goffstown,,sphere,NH,6/1/1975 21:00
Newnan,ORANGE,sphere,GA,6/1/1975 21:00
Grand Island,,oval,NY,6/1/1975 21:30
Robstown,,oval,TX,6/1/1975 21:30
Clovis,,,NM,6/1/1975 22:00
Kennett Square,,other,PA,6/1/1975 22:00
Richmond,,disk,VA,6/1/1975 22:00
Sciotoville,,other,OH,6/1/1975 22:00
Sedro-Woolley,,circle,WA,6/1/1975 22:00
Longview,,disk,TX,6/1/1975 23:00
Minneapolis,,triangle,MN,6/1/1975 23:00
Nashville,YELLOW,light,TN,6/1/1975 23:59
Charlotte,,disk,NC,6/6/1975 17:00
Lexington,,circle,KY,6/6/1975 22:00
Winchester,,fireball,IN,6/8/1975 21:00
Albany,,cigar,NY,6/10/1975 2:00
Roberts Creek Mtn.,,,NV,6/10/1975 2:30
Rockdale,,other,TX,6/10/1975 20:00
Albany,,light,NY,6/10/1975 22:00
Bon Air,,cigar,VA,6/15/1975 0:00
Cocoa Beach,,triangle,FL,6/15/1975 2:00
Hallandale,,disk,FL,6/15/1975 3:00
Praire Creek,,,IN,6/15/1975 5:00
Rifle,,disk,CO,6/15/1975 10:00
Noxen,,cigar,PA,6/15/1975 12:30
Fulton,,disk,NY,6/15/1975 13:00
Baton Rouge,,disk,LA,6/15/1975 16:00
Reisterstown,GREEN,formation,MD,6/15/1975 18:00
Nulato,,light,AK,6/15/1975 18:30
Riverside,,disk,CT,6/15/1975 18:30
Minneapolis,,triangle,MN,6/15/1975 20:00
Detroit,,triangle,MI,6/15/1975 21:00
Levittown,,light,PA,6/15/1975 21:00
Burna,,light,KY,6/15/1975 22:00
Florence,,rectangle,SC,6/15/1975 22:00
Angeles Crest,,other,CA,6/15/1975 23:00
Scotts,,oval,MI,6/15/1975 23:00
Warren,,circle,OH,6/20/1975 0:00
Brainerd,,circle,MN,6/20/1975 2:00
East Grand Forks,,light,MN,6/20/1975 2:00
Spokane,,disk,WA,6/20/1975 11:30
Brainerd,,cigar,MN,6/20/1975 12:00
Bedford,,light,MA,6/20/1975 23:30
Lincoln,,oval,IL,6/22/1975 9:00
Arlington,,triangle,TX,6/23/1975 21:00
Arlington,,triangle,TX,6/23/1975 21:00
Arlington,,triangle,TX,6/23/1975 21:00
Greenwich,,sphere,CT,6/30/1975 0:00
Pensacola,,other,FL,6/30/1975 0:00
Rocky Point,,light,NY,6/30/1975 0:00
San Jose,,,CA,6/30/1975 0:00
Yorba Linda,,formation,CA,6/30/1975 0:00
Fairmont,,cigar,MN,6/30/1975 1:00
Kimberly,,triangle,WI,6/30/1975 3:00
Springfield,,circle,MO,6/30/1975 9:30
Louisville,,circle,KY,6/30/1975 11:00
Bourbonnais,BLUE,oval,IL,6/30/1975 13:00
Keys,,other,FL,6/30/1975 13:00
Denison,,,IA,6/30/1975 17:00
Anderson,,circle,SC,6/30/1975 20:00
Miami,,sphere,FL,6/30/1975 20:00
Miami Beach,,light,FL,6/30/1975 20:00
Windsor,RED,disk,NC,6/30/1975 21:00
Lancaster,,,PA,6/30/1975 21:30
Angeles Crest Forest,,light,CA,6/30/1975 23:00
El Monte,,other,CA,6/30/1975 23:00
Salt Lake City,,light,UT,7/1/1975 3:00
Coarsegold,GREEN,circle,CA,7/1/1975 9:00
Sandy Springs,,light,SC,7/1/1975 13:20
Marsh Creek,,cigar,CA,7/1/1975 16:00
Kansas City,,oval,MO,7/1/1975 20:00
Fair Haven,,sphere,NY,7/4/1975 10:00
Marley Park,,circle,MD,7/4/1975 13:00
Golden,BLUE,sphere,CO,7/4/1975 14:00
Franconia Notch,,cone,NH,7/5/1975 23:00
Fort Washakie,,light,WY,7/7/1975 19:00
Bellevue,,cigar,WA,7/8/1975 22:00
Midway,,other,KY,7/8/1975 22:30
Manchester,,,CT,7/10/1975 1:00
Marlborough,,disk,CT,7/10/1975 19:00
Mt. Hope,,triangle,WI,7/11/1975 20:00
Cassville,,,WI,7/11/1975 22:00
Shoreline,,egg,WA,7/13/1975 19:30
Girard,,,MI,7/14/1975 21:00
Pound,,disk,VA,7/15/1975 1:30
Angleton,,sphere,TX,7/15/1975 5:00
Mason,,teardrop,MI,7/15/1975 9:30
Flathead Lake,,disk,MT,7/15/1975 13:00
Paul,,cigar,ID,7/15/1975 14:00
Green Bay,,triangle,WI,7/15/1975 16:00
Birmingham,,disk,AL,7/15/1975 17:00
Morehead,,circle,KY,7/15/1975 17:00
Ramsey,,disk,MN,7/15/1975 18:30
Triadelphia,,disk,WV,7/15/1975 18:30
Decatur,,disk,IL,7/15/1975 19:00
Brea,,,CA,7/15/1975 20:00
Wittman,,triangle,MD,7/15/1975 20:00
Estes Park,,light,CO,7/15/1975 20:30
Raleigh,,disk,NC,7/15/1975 21:00
Reseda,GREEN,formation,CA,7/15/1975 21:00
Smithland,,triangle,KY,7/15/1975 21:00
Dover,,other,NJ,7/15/1975 22:00
Turbeville,GREEN,light,SC,7/15/1975 22:00
Grinnell,,rectangle,IA,7/15/1975 23:00
Dumas,ORANGE,oval,TX,7/18/1975 19:00
Spokane,,sphere,WA,7/19/1975 23:30
Albion,BLUE,light,NY,7/20/1975 1:30
Blackstone,,disk,MA,7/20/1975 12:00
Tupelo,,cigar,MS,7/20/1975 20:30
Murphysboro,,,IL,7/21/1975 0:30
Indiana,,cone,PA,7/22/1975 2:00
Cranston,,light,RI,7/22/1975 21:00
Raleigh,,,NC,7/22/1975 21:00
Port Washington,RED,disk,WI,8/1/1975 3:15
Sunland,,egg,CA,8/1/1975 4:00
Lopez Island,,circle,WA,8/1/1975 12:00
Savannah`,,cigar,GA,8/1/1975 14:30
Ravenna,,cylinder,OH,8/1/1975 18:00
Pittsburgh,ORANGE YELLOW,fireball,PA,8/1/1975 20:30
James Island,,disk,SC,8/2/1975 17:00
Bristolville,,disk,OH,8/4/1975 14:00
Richmond,,oval,VA,8/5/1975 16:35
Richmond,,egg,VA,8/5/1975 18:31
Walla Walla,GREEN,light,WA,8/7/1975 21:30
Damarascotta Lake,,disk,ME,8/8/1975 21:30
Dekalb,,light,IL,8/8/1975 22:00
River Ridge,ORANGE,circle,LA,8/10/1975 18:00
Anthony,,teardrop,KS,8/12/1975 20:00
Brigham City,,disk,UT,8/15/1975 0:00
Luning,,disk,NV,8/15/1975 1:00
Ricketts Glen SP,,other,PA,8/15/1975 2:00
Kingman,,cylinder,AZ,8/15/1975 3:00
Orange Lake,,disk,FL,8/15/1975 6:00
Beverly,,disk,MA,8/15/1975 18:00
Grenada,,disk,MS,8/15/1975 18:00
McKenzie,,cone,TN,8/15/1975 19:30
Albion,,cigar,NY,8/15/1975 20:00
Lapeer,RED,other,MI,8/15/1975 20:15
Fildale,,triangle,VA,8/15/1975 22:00
Solomon,,fireball,KS,8/15/1975 23:00
Terre Haute,,circle,IN,8/15/1975 23:00
Highlands,,fireball,TX,8/16/1975 20:00
Indianapolis,,triangle,IN,8/16/1975 21:00
Dalton,,circle,MA,8/17/1975 23:00
Santa Barbara,,disk,CA,8/19/1975 1:00
Portland,,disk,OR,8/19/1975 21:00
Fort Wayne,,other,IN,8/20/1975 1:00
Jackson,RED GREEN,triangle,NJ,8/20/1975 2:00
Orange Lake,,disk,FL,8/20/1975 7:00
Brewster,,cylinder,NY,8/20/1975 16:30
Joppa,RED ORANGE,circle,MD,8/20/1975 22:00
White Bird,,light,ID,8/30/1975 22:00
White Bird,,light,ID,8/30/1975 22:00
Fullerton,,other,CA,9/1/1975 20:00
Independence,,disk,MO,9/1/1975 20:00
Valencia,,oval,CA,9/1/1975 22:00
Palmyra,,circle,NJ,9/4/1975 0:00
Union Grove,,cigar,AL,9/4/1975 2:00
Sonoma Mountain,,light,CA,9/5/1975 20:00
Vineland,,disk,NJ,9/9/1975 15:00
Meriden,YELLOW,disk,CT,9/10/1975 19:45
Grand Coulee,,cigar,WA,9/11/1975 21:00
Anderson,,triangle,IN,9/12/1975 18:00
Prescott,,,AZ,9/15/1975 0:00
Prescott,,cigar,AZ,9/15/1975 0:00
Prescott,,fireball,AZ,9/15/1975 0:00
Haines City,ORANGE,disk,FL,9/15/1975 18:00
North Branch,,chevron,NJ,9/15/1975 18:30
Pennsville,,disk,NJ,9/15/1975 21:30
Roscommon,,oval,MI,9/20/1975 18:30
Wimberley,,light,TX,9/20/1975 19:00
Weston,,circle,CT,9/23/1975 2:00
Little Valley,,light,OR,9/25/1975 22:30
St. Agatha,,light,ME,9/29/1975 21:00
"Kincheloe Air Force Base, Michigan",,triangle,MI,10/1/1975 21:00
Maricopa,ORANGE,various,AZ,10/1/1975 22:00
North Charleston,,light,SC,10/10/1975 17:00
Warwick,,disk,RI,10/13/1975 16:30
Greenwich,,light,CT,10/15/1975 0:00
Rockville,,disk,MD,10/15/1975 2:30
Rockville,,disk,MD,10/15/1975 3:00
Polland Junction,,circle,AZ,10/15/1975 3:30
Killeen,,various,TX,10/15/1975 6:30
Batesville,,sphere,MS,10/15/1975 16:00
Marianna,,disk,FL,10/15/1975 16:00
Marion,GREEN,light,KS,10/15/1975 16:00
Scituate,ORANGE,circle,RI,10/15/1975 17:00
Nesconset,,disk,NY,10/15/1975 18:00
Williston,,disk,ND,10/15/1975 18:00
Monroe,,disk,NY,10/15/1975 19:00
Swannanoa,,other,NC,10/15/1975 19:00
Montpelier,,other,VT,10/15/1975 19:30
Ryegate,,circle,MT,10/15/1975 22:00
Collinsville,,triangle,AL,10/15/1975 23:00
Greenwich,,circle,CT,10/17/1975 19:00
McDermott,,sphere,NV,10/20/1975 1:30
Watkins Glen,,,NY,10/20/1975 3:15
Enterprise,,other,AL,10/20/1975 22:00
Indian Rocks Beach,,light,FL,10/21/1975 23:20
Baytown,,light,TX,10/24/1975 22:00
Muscatine,ORANGE,circle,IA,10/25/1975 22:25
Limestone,,light,ME,10/27/1975 0:00
Cleves,,cigar,OH,10/28/1975 18:00
Allen,,disk,KY,10/30/1975 20:00
Kent,,circle,CT,10/30/1975 21:00
Camp Pendelton,,flash,CA,11/1/1975 2:00
Natchez,,oval,MS,11/1/1975 17:00
Ware Shoals,,circle,SC,11/1/1975 23:00
Winslow,BLUE,fireball,AZ,11/5/1975 0:00
Beloit,,disk,WI,11/9/1975 21:15
Falls Church,,circle,VA,11/13/1975 21:00
Woodbridge,,circle,VA,11/13/1975 21:15
Albany,,circle,NY,11/15/1975 20:00
Catskill,,formation,NY,11/15/1975 20:00
Anderson,,disk,IN,11/15/1975 21:00
Girard,,oval,OH,11/15/1975 21:30
Miami,,disk,FL,11/15/1975 23:00
Townsend,,circle,MA,11/15/1975 23:00
Miami,,teardrop,FL,11/16/1975 3:00
Miami,,oval,FL,11/20/1975 1:00
Hudson,,,NY,11/20/1975 17:00
Yonkers,,light,NY,11/20/1975 20:00
,RED,triangle,WV,11/25/1975 23:00
Reno,,disk,NV,11/27/1975 16:30
Edgewater,,fireball,FL,12/1/1975 2:00
Hollywood,,disk,CA,12/1/1975 4:00
Louisville,ORANGE,fireball,KY,12/1/1975 22:30
Jacksonville,,triangle,FL,12/7/1975 11:45
Clermont,,disk,IN,12/18/1975 0:30
Sunnyvale,BLUE,light,CA,12/20/1975 21:00
no data,,disk,IN,12/20/1975 22:30
North Attleboro,,sphere,MA,12/21/1975 19:00
Bowie,,oval,AZ,12/23/1975 2:00
Winters Freeway,,rectangle,CA,12/24/1975 21:00
Tampa,,triangle,FL,12/25/1975 23:00
New Britghton,RED GREEN BLUE,sphere,MN,12/26/1975 20:00
Webb,,disk,MS,12/31/1975 19:30
Lisle,,light,IL,12/31/1975 22:30
Fort Gardens,,flash,GA,1/1/1976 21:00
Dayton,,other,OH,1/2/1976 12:00
Cannon AFB,,disk,NM,1/6/1976 1:00
Nashville,,triangle,TN,1/8/1976 20:00
"Fairbanks, Trans Alaskan Pipeline haul road 250 mi N of",,,AK,1/11/1976 23:00
Thousand Oaks,,various,CA,1/15/1976 20:00
Millis,,,MA,1/20/1976 2:00
Ft. Yukon,,oval,AK,2/3/1976 13:00
Whiteland,,,IN,2/3/1976 22:00
Fern Park,,,FL,2/11/1976 22:30
Ft. Yukon,BLUE,oval,AK,2/13/1976 13:30
Flint,,rectangle,MI,2/14/1976 11:55
Memphis,,disk,TN,2/14/1976 18:00
Spooner,,sphere,WI,2/15/1976 1:00
Sacramento,YELLOW,other,CA,2/15/1976 20:30
Baker,,oval,MT,2/20/1976 22:00
Pahokee,,oval,FL,3/15/1976 0:00
Fountain,,disk,CO,3/15/1976 12:00
Bennington,,disk,VT,3/20/1976 23:30
Houston,,disk,TX,3/24/1976 21:00
Riverside,,teardrop,CA,4/15/1976 1:30
Americus,,rectangle,GA,4/15/1976 13:30
Winchester,,disk,KY,4/15/1976 20:30
Marianna,,oval,FL,4/18/1976 17:00
Dayton,,various,OH,4/20/1976 13:30
Brownsville,,circle,TN,4/25/1976 21:00
Fricot City,,disk,CA,4/30/1976 20:00
St. Thomas,,diamond,PA,5/1/1976 12:00
Eastland,,,TX,5/1/1976 16:00
Coventry,,formation,RI,5/1/1976 20:00
Lakewood,,triangle,CO,5/1/1976 22:00
Miami,,sphere,FL,5/1/1976 23:00
Covelo,,disk,CA,5/10/1976 11:00
New Danville,,disk,PA,5/10/1976 20:15
Grapevine,,egg,CA,5/12/1976 23:50
Hydes,,various,MD,5/15/1976 19:00
Newtown,,fireball,CT,5/16/1976 20:00
Ridgefield,,,CT,5/17/1976 2:00
Enfield,,triangle,CT,5/20/1976 22:00
South Lake Tahoe,,light,CA,5/29/1976 23:00
Mountaintop,,cigar,PA,5/30/1976 18:00
Mountaintop,,triangle,PA,5/30/1976 19:00
Bell,,other,CA,6/1/1976 0:00
Haines City,,sphere,FL,6/1/1976 0:00
Pine City,,cigar,MS,6/1/1976 0:00
Washington,,light,IL,6/1/1976 0:00
Midvale,,chevron,UT,6/1/1976 1:00
Scottsville,,oval,KY,6/1/1976 1:00
Howell,,,MI,6/1/1976 2:00
Pass Christian,,light,MS,6/1/1976 2:00
Federal Way,,circle,WA,6/1/1976 4:00
Syracuse,,oval,NY,6/1/1976 8:30
Richmond,,disk,VA,6/1/1976 9:00
Meridien,,other,CT,6/1/1976 12:00
Orlando,,cylinder,FL,6/1/1976 12:00
Gulf of Mexico,,oval,FL,6/1/1976 14:00
Meriden,,,CT,6/1/1976 16:00
Raceland,,circle,LA,6/1/1976 16:30
Pacific Palisades,,triangle,CA,6/1/1976 17:00
Barberton,,oval,OH,6/1/1976 18:00
Fayetteville,,triangle,IL,6/1/1976 18:00
Upper Saddle River,,disk,NJ,6/1/1976 18:00
Chunky,,disk,MS,6/1/1976 19:00
Glennville,,triangle,GA,6/1/1976 19:00
Santa Paula,,rectangle,CA,6/1/1976 19:00
Columbus,,light,OH,6/1/1976 20:00
Covington,,disk,KY,6/1/1976 20:00
Niagara Falls,,flash,NY,6/1/1976 20:00
Shepherd,,triangle,TX,6/1/1976 20:00
Tacoma,,sphere,WA,6/1/1976 20:00
Jacksonville,,disk,FL,6/1/1976 20:30
Alexandria,,light,LA,6/1/1976 21:00
Covington,,disk,KY,6/1/1976 21:00
Point Pleasent,,light,NJ,6/1/1976 21:00
Cossayuna,,,NY,6/1/1976 22:00
Gresham,,various,OR,6/1/1976 22:00
Kannapolis,,oval,NC,6/1/1976 23:00
Newark,,circle,OH,6/1/1976 23:00
no data,,light,TN,6/1/1976 23:00
Rutherfordton,BLUE,,NC,6/1/1976 23:00
Waco,,sphere,TX,6/1/1976 23:00
Everett,,,WA,6/2/1976 0:00
Holyoke,,disk,MA,6/5/1976 23:00
Copley,,disk,OH,6/6/1976 13:00
Fort Worth,BLUE,fireball,TX,6/6/1976 16:00
San Diego,,circle,CA,6/6/1976 21:00
Imperial Beach,,light,CA,6/6/1976 22:00
Mansfield,,disk,OH,6/6/1976 23:00
Littleton,,,CO,6/10/1976 22:35
Wurtland,,cigar,KY,6/14/1976 3:30
South  Hattisburg,,oval,MS,6/14/1976 13:00
Midland,,light,TX,6/15/1976 2:00
Odessa,,disk,TX,6/15/1976 2:00
Greenbush,,circle,MN,6/15/1976 3:00
"Woodberry Forest Preparatory School, VA",,light,VA,6/15/1976 3:00
Bonney Lake,,other,WA,6/15/1976 6:30
Strathmore,,cigar,CA,6/15/1976 7:00
Canton,,cigar,OH,6/15/1976 11:00
Winchester,,circle,MA,6/15/1976 13:00
Bergenfield,,cigar,NJ,6/15/1976 14:00
Ford City,RED,cigar,PA,6/15/1976 17:00
Mt. Royal,,,NJ,6/15/1976 19:00
Simi Valley,,light,CA,6/15/1976 20:00
Smithtown,,disk,NY,6/15/1976 20:00
Brentwood,,disk,NY,6/15/1976 21:00
Long Beach,,disk,NY,6/15/1976 21:00
Western,,rectangle,KS,6/15/1976 21:00
Wyandotte,,triangle,MI,6/15/1976 21:30
Beaver Creek,,disk,OR,6/15/1976 22:00
Joshua Tree National Monument,,formation,CA,6/15/1976 22:00
Simi Valley,,circle,CA,6/15/1976 22:00
Wilkes-Barre,,disk,PA,6/15/1976 22:00
Tulsa,,light,OK,6/15/1976 22:45
Drumright,,,OK,6/15/1976 23:00
Hobbs,,flash,NM,6/15/1976 23:00
Dale,,other,IN,6/17/1976 21:00
Warden,,light,WA,6/18/1976 21:00
Limestone,,cigar,ME,6/20/1976 0:00
Dunbar,,triangle,WV,6/20/1976 20:00
Little Rock,,sphere,AR,6/21/1976 1:30
Palo Alto,,light,CA,6/22/1976 1:00
Madison,,circle,NH,6/23/1976 22:00
Phoenix,,disk,AZ,6/25/1976 22:00
Youngstown,,disk,OH,6/25/1976 23:00
Fargo,,disk,ND,6/26/1976 11:00
Lake McClure,,,CA,6/30/1976 0:00
Kutztown,,disk,PA,6/30/1976 0:30
